contractor_id,date
81,2019-01-29
81,2019-01-30
81,2019-01-31
81,2019-02-04
81,2019-02-05
81,2019-02-06
81,2019-02-07
81,2019-02-08
81,2019-02-14
81,2019-02-15
81,2019-02-28
81,2019-03-08
81,2019-03-21
81,2019-03-22
81,2019-03-25
81,2019-03-26
81,2019-03-27
81,2019-03-28
81,2019-03-29
81,2019-04-04
81,2019-04-05
81,2019-04-08
81,2019-04-09
81,2019-04-10
81,2019-04-11
81,2019-04-12
81,2019-04-19
81,2019-04-25
81,2019-04-26
81,2019-04-29
81,2019-04-30
81,2019-05-01
81,2019-05-02
81,2019-05-03
81,2019-05-04
81,2019-05-06
81,2019-05-07
81,2019-05-08
81,2019-05-09
81,2019-05-10
81,2019-05-11
81,2019-05-13
81,2019-05-14
81,2019-05-15
81,2019-05-16
81,2019-05-17
81,2019-05-18
81,2019-05-31
81,2019-06-06
81,2019-06-07
81,2019-06-13
81,2019-06-14
81,2019-06-17
81,2019-06-20
81,2019-06-21
81,2019-07-01
81,2019-07-02
81,2019-07-03
81,2019-07-04
81,2019-07-05
81,2019-07-06
184,2019-03-01
184,2019-03-02
184,2019-03-03
184,2019-03-04
184,2019-03-05
184,2019-03-06
184,2019-03-07
184,2019-03-08
184,2019-03-09
184,2019-03-10
184,2019-03-11
184,2019-03-12
184,2019-03-13
184,2019-03-14
184,2019-03-15
184,2019-03-16
184,2019-03-17
184,2019-03-18
184,2019-03-19
184,2019-03-20
184,2019-03-21
184,2019-03-22
184,2019-03-23
184,2019-03-24
184,2019-03-25
184,2019-03-26
184,2019-03-27
184,2019-03-28
184,2019-03-29
184,2019-03-30
184,2019-03-31
184,2019-04-01
184,2019-04-02
184,2019-04-03
184,2019-04-04
184,2019-04-05
184,2019-04-06
184,2019-04-07
184,2019-04-08
184,2019-04-09
184,2019-04-10
184,2019-04-11
184,2019-04-12
184,2019-04-13
184,2019-04-17
184,2019-04-18
184,2019-04-19
184,2019-04-20
184,2019-04-21
184,2019-04-22
184,2019-04-23
184,2019-04-24
184,2019-04-25
184,2019-04-26
184,2019-04-27
184,2019-04-28
184,2019-04-29
184,2019-04-30
184,2019-05-01
184,2019-05-02
184,2019-05-03
184,2019-05-04
184,2019-05-05
184,2019-05-06
184,2019-05-07
184,2019-05-08
184,2019-05-09
184,2019-05-10
184,2019-05-11
184,2019-05-12
184,2019-05-13
184,2019-05-14
184,2019-05-15
184,2019-05-16
184,2019-05-17
184,2019-05-18
184,2019-06-06
184,2019-06-07
184,2019-06-08
184,2019-06-09
184,2019-06-10
184,2019-06-11
184,2019-06-12
184,2019-06-13
184,2019-06-14
184,2019-06-15
184,2019-06-16
184,2019-06-17
184,2019-06-18
184,2019-06-19
184,2019-06-20
184,2019-06-21
184,2019-06-22
184,2019-06-23
184,2019-06-24
184,2019-06-25
184,2019-06-26
184,2019-06-27
184,2019-06-28
184,2019-06-29
184,2019-06-30
181,2019-03-27
181,2019-04-01
181,2019-04-05
181,2019-06-14
181,2019-06-17
181,2019-06-21
181,2019-06-28
181,2019-07-13
181,2019-07-20
181,2019-07-26
181,2019-07-27
181,2019-08-02
181,2019-08-03
73,2019-02-02
73,2019-03-04
73,2019-03-05
73,2019-03-06
73,2019-03-07
73,2019-03-08
73,2019-03-18
73,2019-03-19
73,2019-03-20
73,2019-03-21
73,2019-03-22
73,2019-03-26
73,2019-03-28
73,2019-03-29
73,2019-04-01
73,2019-04-02
73,2019-04-03
73,2019-04-04
73,2019-04-05
73,2019-04-10
73,2019-04-11
73,2019-04-12
73,2019-04-15
73,2019-04-16
73,2019-04-17
73,2019-04-18
73,2019-04-19
73,2019-04-25
73,2019-04-26
73,2019-04-29
73,2019-04-30
73,2019-05-01
73,2019-05-02
73,2019-05-03
73,2019-05-06
73,2019-05-07
73,2019-05-08
73,2019-05-09
73,2019-05-10
73,2019-05-20
73,2019-05-21
73,2019-05-22
73,2019-05-23
73,2019-05-24
73,2019-05-27
73,2019-05-28
73,2019-05-29
73,2019-05-30
73,2019-05-31
73,2019-06-05
73,2019-06-06
73,2019-06-10
73,2019-06-11
73,2019-06-12
73,2019-06-13
73,2019-06-14
73,2019-06-20
73,2019-06-24
73,2019-06-25
73,2019-07-03
73,2019-07-08
73,2019-07-09
73,2019-07-10
73,2019-07-11
73,2019-07-12
73,2019-07-26
73,2019-08-02
359,2019-02-04
359,2019-02-06
359,2019-02-08
359,2019-02-09
359,2019-02-15
359,2019-02-16
359,2019-02-22
359,2019-03-01
359,2019-03-02
359,2019-03-08
359,2019-03-09
359,2019-03-15
359,2019-03-16
359,2019-03-22
359,2019-03-23
359,2019-03-28
359,2019-03-29
359,2019-03-30
359,2019-04-04
359,2019-04-05
359,2019-04-06
359,2019-04-11
359,2019-04-12
359,2019-04-13
359,2019-04-18
359,2019-04-19
359,2019-04-20
359,2019-04-25
359,2019-04-26
359,2019-04-27
359,2019-05-03
359,2019-05-04
359,2019-05-09
359,2019-05-10
359,2019-05-11
359,2019-05-18
359,2019-05-22
359,2019-05-23
359,2019-05-24
359,2019-05-25
359,2019-05-30
359,2019-05-31
359,2019-06-01
359,2019-06-06
359,2019-06-07
359,2019-06-08
359,2019-06-14
359,2019-06-15
359,2019-06-17
359,2019-06-20
359,2019-06-21
359,2019-06-22
359,2019-06-28
359,2019-06-29
359,2019-07-05
359,2019-07-11
359,2019-07-12
359,2019-07-13
359,2019-07-18
359,2019-07-19
359,2019-07-20
359,2019-07-25
359,2019-07-26
359,2019-07-27
359,2019-08-01
359,2019-08-02
359,2019-08-03
387,2019-02-03
387,2019-03-01
387,2019-06-21
387,2019-07-23
360,2019-02-09
360,2019-02-16
360,2019-03-02
360,2019-03-09
360,2019-03-16
360,2019-03-23
360,2019-04-06
360,2019-04-13
360,2019-04-20
360,2019-04-25
360,2019-04-27
360,2019-05-04
360,2019-05-11
360,2019-05-18
360,2019-05-25
360,2019-06-01
360,2019-06-08
360,2019-06-15
360,2019-06-22
360,2019-06-29
360,2019-07-06
360,2019-07-13
360,2019-07-20
360,2019-07-27
360,2019-08-03
433,2019-02-08
433,2019-02-11
433,2019-03-04
433,2019-03-20
433,2019-03-26
433,2019-03-27
433,2019-03-28
433,2019-04-03
433,2019-04-10
433,2019-04-17
433,2019-04-24
433,2019-05-17
433,2019-05-18
433,2019-05-24
433,2019-05-25
433,2019-05-31
433,2019-06-01
433,2019-06-08
433,2019-06-15
433,2019-06-19
433,2019-06-22
433,2019-06-29
433,2019-07-03
433,2019-07-04
433,2019-07-05
433,2019-07-06
433,2019-07-13
433,2019-07-20
433,2019-07-27
433,2019-08-03
85,2019-02-05
85,2019-02-12
85,2019-02-13
85,2019-02-14
85,2019-02-18
85,2019-02-19
85,2019-02-20
85,2019-02-21
85,2019-02-25
85,2019-02-26
85,2019-02-27
85,2019-02-28
85,2019-03-06
85,2019-03-07
85,2019-03-11
85,2019-03-12
85,2019-03-13
85,2019-03-14
85,2019-04-02
85,2019-04-03
85,2019-04-04
85,2019-04-05
198,2019-02-04
198,2019-02-05
198,2019-02-07
198,2019-02-08
198,2019-02-09
198,2019-02-11
198,2019-02-12
198,2019-02-13
198,2019-02-14
198,2019-02-15
198,2019-02-16
198,2019-02-18
198,2019-02-19
198,2019-02-20
198,2019-02-21
198,2019-02-22
198,2019-02-23
198,2019-02-25
198,2019-02-26
198,2019-02-27
198,2019-02-28
198,2019-03-01
198,2019-03-02
198,2019-03-04
198,2019-03-05
198,2019-03-06
198,2019-03-07
198,2019-03-08
198,2019-03-09
198,2019-03-11
198,2019-03-12
198,2019-03-13
198,2019-03-14
198,2019-03-15
198,2019-03-16
198,2019-03-18
198,2019-03-19
198,2019-03-20
198,2019-03-21
198,2019-03-22
198,2019-03-23
198,2019-03-25
198,2019-03-26
198,2019-03-27
198,2019-03-28
198,2019-03-29
198,2019-03-30
81,2019-07-07
81,2019-07-08
81,2019-07-09
81,2019-07-10
81,2019-07-11
81,2019-07-12
81,2019-07-13
81,2019-07-14
81,2019-07-15
81,2019-07-16
81,2019-07-17
81,2019-07-18
81,2019-07-19
81,2019-07-20
81,2019-07-21
81,2019-07-22
81,2019-07-23
81,2019-07-24
81,2019-07-25
81,2019-07-26
81,2019-07-27
81,2019-07-28
81,2019-07-29
81,2019-07-30
81,2019-07-31
268,2019-07-30
268,2019-07-31
268,2019-08-01
120,2019-02-19
120,2019-03-26
120,2019-04-02
120,2019-04-09
120,2019-04-16
120,2019-04-23
120,2019-04-30
120,2019-05-07
120,2019-05-14
120,2019-05-16
120,2019-05-17
120,2019-05-21
120,2019-05-22
120,2019-05-23
120,2019-05-24
120,2019-05-27
120,2019-05-28
120,2019-05-29
120,2019-05-30
120,2019-05-31
120,2019-06-07
120,2019-07-22
120,2019-07-23
120,2019-07-24
120,2019-07-25
120,2019-07-26
120,2019-07-27
120,2019-07-29
120,2019-07-30
120,2019-07-31
120,2019-08-01
456,2019-02-15
456,2019-02-22
456,2019-02-25
456,2019-03-08
456,2019-03-11
456,2019-03-15
456,2019-03-18
456,2019-03-22
456,2019-03-25
456,2019-03-29
456,2019-04-01
456,2019-04-05
456,2019-04-08
456,2019-04-12
456,2019-04-15
456,2019-04-19
456,2019-04-22
456,2019-04-26
456,2019-04-29
456,2019-05-03
456,2019-05-10
456,2019-05-20
456,2019-05-21
456,2019-05-24
456,2019-05-27
456,2019-05-28
456,2019-05-31
456,2019-06-03
456,2019-06-04
456,2019-06-14
270,2019-02-18
270,2019-02-22
270,2019-05-13
270,2019-05-22
270,2019-05-27
72,2019-02-27
72,2019-04-12
72,2019-04-26
72,2019-04-29
72,2019-04-30
72,2019-05-01
72,2019-05-02
72,2019-05-03
72,2019-05-13
72,2019-05-14
72,2019-05-15
72,2019-05-16
72,2019-05-17
72,2019-05-30
72,2019-06-07
72,2019-06-10
72,2019-06-11
72,2019-06-12
72,2019-06-13
72,2019-06-14
72,2019-06-21
72,2019-07-02
72,2019-07-03
72,2019-07-04
72,2019-07-05
72,2019-07-09
72,2019-07-10
72,2019-07-11
72,2019-07-12
72,2019-07-16
72,2019-07-17
72,2019-07-18
72,2019-07-19
72,2019-07-23
72,2019-07-24
72,2019-07-25
72,2019-07-26
418,2019-02-25
418,2019-02-26
418,2019-02-27
418,2019-02-28
418,2019-03-01
418,2019-03-04
418,2019-03-05
418,2019-03-19
418,2019-03-20
418,2019-03-21
418,2019-04-04
418,2019-04-08
418,2019-04-09
418,2019-04-10
418,2019-04-11
418,2019-05-08
418,2019-05-09
418,2019-05-28
418,2019-05-29
100,2019-02-20
100,2019-03-20
100,2019-03-27
100,2019-04-10
100,2019-07-02
100,2019-07-03
63,2019-02-14
63,2019-02-15
63,2019-02-16
63,2019-02-22
63,2019-02-23
63,2019-03-01
63,2019-03-02
63,2019-03-08
63,2019-03-09
63,2019-03-15
63,2019-03-16
63,2019-03-22
63,2019-03-23
63,2019-03-29
63,2019-03-30
63,2019-04-05
63,2019-04-06
63,2019-04-12
63,2019-04-13
63,2019-04-19
63,2019-04-20
63,2019-04-26
63,2019-04-27
63,2019-05-03
63,2019-05-04
63,2019-05-10
63,2019-05-11
63,2019-05-17
63,2019-05-18
63,2019-05-24
63,2019-05-25
63,2019-05-31
63,2019-06-01
63,2019-06-07
63,2019-06-08
63,2019-06-14
63,2019-06-15
63,2019-06-21
63,2019-06-22
63,2019-06-27
63,2019-06-28
63,2019-06-29
63,2019-07-05
63,2019-07-06
63,2019-07-12
63,2019-07-13
63,2019-07-19
63,2019-07-20
63,2019-07-26
63,2019-07-27
63,2019-08-02
63,2019-08-03
84,2019-02-14
84,2019-02-21
84,2019-02-25
84,2019-02-28
84,2019-03-04
84,2019-03-07
84,2019-03-11
84,2019-03-14
84,2019-03-18
84,2019-03-21
84,2019-03-25
84,2019-03-28
84,2019-04-01
84,2019-04-04
84,2019-04-08
84,2019-04-11
84,2019-04-12
84,2019-04-15
84,2019-04-25
84,2019-04-29
84,2019-05-13
84,2019-05-23
84,2019-05-30
84,2019-06-06
84,2019-06-14
84,2019-06-20
84,2019-06-27
84,2019-07-01
84,2019-07-05
84,2019-07-10
84,2019-07-11
84,2019-07-15
84,2019-07-16
84,2019-07-17
84,2019-07-18
84,2019-07-19
84,2019-07-24
84,2019-07-25
84,2019-07-26
412,2019-02-13
412,2019-02-19
412,2019-02-20
412,2019-02-21
412,2019-02-22
467,2019-02-19
78,2019-06-29
78,2019-07-06
78,2019-07-13
78,2019-07-27
78,2019-08-02
78,2019-08-03
87,2019-02-20
87,2019-02-21
87,2019-02-22
87,2019-02-23
87,2019-02-26
